.aifc,WMP11.AssocFile.AIFF,AIFF Format Sound,audio/aiff,audio,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/7/2012 4:52:14 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.aiff,WMP11.AssocFile.AIFF,AIFF Format Sound,audio/aiff,audio,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/7/2012 4:52:14 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.ani,anifile,Animated Cursor,,,,,,0x00000000,0x00000000,%1,7/13/2009 10:53:38 PM,Standard,,,,,
.ans,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.apc,wireshark-capture-file,Wireshark capture file,,,,,,0x00000000,0x00000000,"""C:\Program Files\Wireshark\wireshark.exe"",1",7/6/2012 11:57:32 AM,Standard,,Wireshark,1.6.2,Wireshark,"The Wireshark developer community, http://www.wireshark.org/"
.api,AcroExch.Plugin,,,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{AC76BA86-7AD7-1033-7B44-A93000000001}\APIFile_8.ico,0",11/4/2011 1:26:21 PM,Standard,,,,,
.application,Application.Manifest,Application Manifest,application/x-ms-application,,,,,0x00010000,0x00001000,"%SystemRoot%\system32\dfshim.dll,1",7/13/2009 10:53:38 PM,Standard,,Microsoft® .NET Framework,4.0.31106.0 (Main.031106-0000),ClickOnce Application Deployment Support Library,Microsoft Corporation
.appref-ms,Application.Reference,Application Reference,,,,,,0x00020000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.aps,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.ARN,Autoruns.Logfile.1,Autoruns Log File,,,,,,0x00000000,0x00000000,"""C:\Users\lpjharri\Documents\Sysinternal Tools\Autoruns\autoruns.exe"",0",7/16/2012 7:49:16 AM,Standard,,Sysinternals autoruns,11.31,Autostart program viewer,Sysinternals - www.sysinternals.com
.art,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.artask,AR.Shortcut.4,AR Shortcut File,AR.Shortcut.4,,,,,0x00010000,0x00000000,"C:\Windows\Installer\{989AA9F3-15B5-47CD-82D8-0954D98E771E}\Icon_ARTask.exe,0",7/5/2012 4:30:11 PM,Standard,,InstallShield,14.0.162,InstallShield,Macrovision Corporation
.asa,aspfile,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.asc,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.ascx,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.asf,WMP11.AssocFile.ASF,Windows Media Audio/Video file,video/x-ms-asf,video,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.asm,,,,text,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.asmx,,,,text,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.asp,aspfile,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.aspx,,,,text,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.asx,WMP11.AssocFile.ASX,Windows Media Audio/Video playlist,video/x-ms-asf,video,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",11/21/2010 12:30:48 AM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.atc,wireshark-capture-file,Wireshark capture file,,,,,,0x00000000,0x00000000,"""C:\Program Files\Wireshark\wireshark.exe"",1",7/6/2012 11:57:32 AM,Standard,,Wireshark,1.6.2,Wireshark,"The Wireshark developer community, http://www.wireshark.org/"
.au,WMP11.AssocFile.AU,AU Format Sound,audio/basic,audio,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.avi,WMP11.AssocFile.AVI,Video Clip,video/avi,video,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-731",11/21/2010 12:30:49 AM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.aw,AWFile,Answer Wizard File,,,,,,0x00000000,0x00000000,"C:\PROGRA~2\COMMON~1\MICROS~1\OFFICE14\MSOICONS.EXE,6",7/5/2012 4:35:44 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.bas,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.bat,batfile,Windows Batch File,,,,,,0x00000430,0x00000000,"%SystemRoot%\System32\imageres.dll,-68",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,6.1.7600.16385 (win7_rtm.090713-1255),Windows Image Resource,Microsoft Corporation
.bcp,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.bfr,wireshark-capture-file,Wireshark capture file,,,,,,0x00000000,0x00000000,"""C:\Program Files\Wireshark\wireshark.exe"",1",7/6/2012 11:57:32 AM,Standard,,Wireshark,1.6.2,Wireshark,"The Wireshark developer community, http://www.wireshark.org/"
.bgi,BGInfo.Config.1,BGInfo Configuration File,,,,,,0x00000000,0x00000000,"""C:\Program Files (x86)\Microsoft BGInfo\bginfo.exe"",0",7/27/2012 11:16:33 PM,Standard,,BGInfo,"4, 16, 0, 0",BGInfo - Wallpaper text configurator,Sysinternals
.bin,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.bkf,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.blg,Diagnostic.Perfmon.Document,Performance Monitor File,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\wdc.dll,-10024",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,6.1.7600.16385 (win7_rtm.090713-1255),Performance Monitor,Microsoft Corporation
.bmp,Paint.Picture,Bitmap Image,image/bmp,image,*,,,0x00000000,0x00000000,"%systemroot%\system32\imageres.dll,-70",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,6.1.7600.16385 (win7_rtm.090713-1255),Windows Image Resource,Microsoft Corporation
.bsc,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.c,,,,text,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.c2r,MediaCenter.C2R,,,,,,,0x00000000,0x00000000,"%SystemRoot%\ehome\ehdrop.dll,-204",11/21/2010 12:30:48 AM,Standard,,Microsoft® Windows® Operating System,6.1.7600.16385 (win7_rtm.090713-1255),Mediacenter.DropTarget Module,Microsoft Corporation
.cab,CABFolder,Cabinet File,,compressed,,,,0x00000000,0x00000000,"%SystemRoot%\system32\cabview.dll,0",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,6.1.7600.16385 (win7_rtm.090713-1255),Cabinet File Viewer Shell Extension,Microsoft Corporation
.camp,campfile,WCS Viewing Condition Profile,,,,,,0x00000000,0x00000000,"%SystemRoot%\System32\colorui.dll,-17",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,6.1.7600.16385 (win7_rtm.090713-1255),Microsoft Color Control Panel,Microsoft Corporation
.cap,wireshark-capture-file,Wireshark capture file,,,,,,0x00000000,0x00000000,"""C:\Program Files\Wireshark\wireshark.exe"",1",7/6/2012 11:57:32 AM,Standard,,Wireshark,1.6.2,Wireshark,"The Wireshark developer community, http://www.wireshark.org/"
.cat,CATFile,Security Catalog,application/vnd.ms-pki.seccat,,,,,0x00000000,0x00000000,"cryptui.dll,-3418",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,6.1.7601.17514 (win7sp1_rtm.101119-1850),Microsoft Trust UI Provider,Microsoft Corporation
.cc,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.cda,WMP11.AssocFile.CDA,CD Audio Track,,,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/7/2012 4:52:14 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.cdda,,,,,,,,0x00000000,0x00000000,,7/7/2012 4:52:14 PM,Standard,,,,,
.cdmp,cdmpfile,WCS Device Profile,,,,,,0x00000000,0x00000000,"%SystemRoot%\System32\colorui.dll,-16",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,6.1.7600.16385 (win7_rtm.090713-1255),Microsoft Color Control Panel,Microsoft Corporation
.cdx,aspfile,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.cdxml,Microsoft.PowerShellCmdletDefinitionXML.1,,,Text,,,,0x00020000,0x00000000,,8/14/2012 1:22:51 AM,Standard,,,,,
.cer,CERFile,Security Certificate,application/x-x509-ca-cert,,,,,0x00000000,0x00000000,"cryptui.dll,-3410",7/13/2009 10:53:38 PM,Standard,,Microsoft® Windows® Operating System,6.1.7601.17514 (win7sp1_rtm.101119-1850),Microsoft Trust UI Provider,Microsoft Corporation
.cgm,,,,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.chk,chkfile,Recovered File Fragments,,system,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.chm,chm.file,Compiled HTML Help file,,,,,,0x00000000,0x00000000,"%SystemRoot%\hh.exe,0",7/13/2009 10:53:38 PM,Standard,,HTML Help,6.1.7600.16385 (win7_rtm.090713-1255),Microsoft® HTML Help Executable,Microsoft Corporation
